Region code,Region label,Commodity description,Estimate,Number of agricultural businesses,Type,Category
0,Australia,Area of holding - Total area (ha) (a),377002256.3,87779.35,Area of holding ,
0,Australia,Number of agricultural businesses (no.),87779.35,87779.35,,
0,Australia,Number of agricultural businesses irrigating (no.),20732.67,20732.67,,
0,Australia,Water source - Total volume of water from all sources (ML) (b),6464546.16,48904.83,Water source ,
0,Australia,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),2240777.84,7204.04,Water source ,Water taken from irrigation channels or irrigation pipelines 
0,Australia,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),541492.59,20270.82,Water source ,Water taken from on-farm dams or tanks
0,Australia,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",1406309.91,9391.22,Water source ,"Water taken from rivers, creeks, lakes, etc. "
0,Australia,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)",1157611.44,4855.88,Water source ,"Water taken from rivers, creeks, lakes, etc. "
0,Australia,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",248698.47,4674.24,Water source ,"Water taken from rivers, creeks, lakes, etc. "
0,Australia,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",2104030.92,20776.32,Water source ,"Groundwater (e.g. bores, springs, wells) "
0,Australia,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)",123999.95,1016.85,Water source ,"Recycled/reused water from off-farm sources (e.g. re-use schemes, mines) "
0,Australia,Water source - Town or reticulated mains supply - Total volume used (ML),43447.05,5290.8,Water source ,Town or reticulated mains supply 
0,Australia,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),4487.89,105.8,Water source ,Other sources of water (excluding rainfall) 
0,Australia,Water use - Total area watered (ha),1520939.6,20732.67,Water use ,
0,Australia,Water use - Total volume applied (ML),5661146.86,20732.67,Water use ,
0,Australia,Water use - Total application rate (ML/ha),3.72,..,Water use ,
0,Australia,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),324778718.1,66941.93,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off 
0,Australia,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),460671.43,5977.64,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off 
0,Australia,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),1260160.4,5977.64,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off 
0,Australia,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),2.74,..,Water use ,Pastures (including lucerne) and cereal crops used for grazing or fed off 
0,Australia,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",2356057.57,25681.28,Water use ," Pastures (including lucerne), cereal and other crops cut for hay and silage "
0,Australia,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),187905.4,3458.64,Water use ,Pastures (including lucerne) and cereal crops cut for hay and silage 
